指标,年份,数值,省份
城镇居民人均消费支出 (元) ,2023,27693.0,贵州省
农村居民人均消费支出 (元) ,2023,14260.0,贵州省
全体居民人均消费支出 (元) ,2024,17939.0,贵州省
城镇居民人均消费支出 (元) ,2024,24230.0,贵州省
农村居民人均消费支出 (元) ,2024,13172.0,贵州省
全体居民人均消费支出 (元) ,2025,17957.0,贵州省
城镇居民人均消费支出 (元) ,2025,25333.0,贵州省
农村居民人均消费支出 (元) ,2025,12557.0,贵州省
全体居民人均消费支出 (元) ,2021,,辽宁省
城镇居民人均消费支出 (元) ,2021,,辽宁省
农村居民人均消费支出 (元) ,2021,,辽宁省
全体居民人均消费支出 (元) ,2022,25963.0,辽宁省
城镇居民人均消费支出 (元) ,2022,30350.0,辽宁省
农村居民人均消费支出 (元) ,2022,16742.0,辽宁省
全体居民人均消费支出 (元) ,2023,24865.0,辽宁省
城镇居民人均消费支出 (元) ,2023,29091.0,辽宁省
农村居民人均消费支出 (元) ,2023,16040.0,辽宁省
全体居民人均消费支出 (元) ,2024,22604.0,辽宁省
城镇居民人均消费支出 (元) ,2024,26652.0,辽宁省
农村居民人均消费支出 (元) ,2024,14326.0,辽宁省
全体居民人均消费支出 (元) ,2025,23831.0,辽宁省
城镇居民人均消费支出 (元) ,2025,28438.0,辽宁省
农村居民人均消费支出 (元) ,2025,14606.0,辽宁省
全体居民人均消费支出 (元) ,2021,,重庆市
城镇居民人均消费支出 (元) ,2021,,重庆市
农村居民人均消费支出 (元) ,2021,,重庆市
全体居民人均消费支出 (元) ,2022,27451.0,重庆市
城镇居民人均消费支出 (元) ,2022,32360.0,重庆市
农村居民人均消费支出 (元) ,2022,18918.0,重庆市
全体居民人均消费支出 (元) ,2023,26515.0,重庆市
城镇居民人均消费支出 (元) ,2023,31531.0,重庆市
农村居民人均消费支出 (元) ,2023,17964.0,重庆市
全体居民人均消费支出 (元) ,2024,25371.0,重庆市
城镇居民人均消费支出 (元) ,2024,30574.0,重庆市
农村居民人均消费支出 (元) ,2024,16727.0,重庆市
全体居民人均消费支出 (元) ,2025,24598.0,重庆市
城镇居民人均消费支出 (元) ,2025,29850.0,重庆市
农村居民人均消费支出 (元) ,2025,16096.0,重庆市
全体居民人均消费支出 (元) ,2021,,陕西省
城镇居民人均消费支出 (元) ,2021,,陕西省
农村居民人均消费支出 (元) ,2021,,陕西省
全体居民人均消费支出 (元) ,2022,23213.0,陕西省
城镇居民人均消费支出 (元) ,2022,28543.0,陕西省
农村居民人均消费支出 (元) ,2022,16731.0,陕西省
全体居民人均消费支出 (元) ,2023,22012.0,陕西省
城镇居民人均消费支出 (元) ,2023,27303.0,陕西省
农村居民人均消费支出 (元) ,2023,15647.0,陕西省
全体居民人均消费支出 (元) ,2024,19848.0,陕西省
城镇居民人均消费支出 (元) ,2024,24766.0,陕西省
农村居民人均消费支出 (元) ,2024,14094.0,陕西省
全体居民人均消费支出 (元) ,2025,19347.0,陕西省
城镇居民人均消费支出 (元) ,2025,24784.0,陕西省
农村居民人均消费支出 (元) ,2025,13158.0,陕西省
全体居民人均消费支出 (元) ,2021,,青海省
城镇居民人均消费支出 (元) ,2021,,青海省
农村居民人均消费支出 (元) ,2021,,青海省
全体居民人均消费支出 (元) ,2022,21204.0,青海省
城镇居民人均消费支出 (元) ,2022,26413.0,青海省
农村居民人均消费支出 (元) ,2022,15421.0,青海省
全体居民人均消费支出 (元) ,2023,20327.0,青海省
城镇居民人均消费支出 (元) ,2023,25373.0,青海省
农村居民人均消费支出 (元) ,2023,14790.0,青海省
全体居民人均消费支出 (元) ,2024,17261.0,青海省
城镇居民人均消费支出 (元) ,2024,21700.0,青海省
农村居民人均消费支出 (元) ,2024,12516.0,青海省
全体居民人均消费支出 (元) ,2025,19020.0,青海省
城镇居民人均消费支出 (元) ,2025,24513.0,青海省
农村居民人均消费支出 (元) ,2025,13300.0,青海省
全体居民人均消费支出 (元) ,2021,,黑龙江省
城镇居民人均消费支出 (元) ,2021,,黑龙江省
农村居民人均消费支出 (元) ,2021,,黑龙江省
全体居民人均消费支出 (元) ,2022,23467.0,黑龙江省
城镇居民人均消费支出 (元) ,2022,27625.0,黑龙江省
农村居民人均消费支出 (元) ,2022,17295.0,黑龙江省
全体居民人均消费支出 (元) ,2023,22052.0,黑龙江省
城镇居民人均消费支出 (元) ,2023,25882.0,黑龙江省
农村居民人均消费支出 (元) ,2023,16453.0,黑龙江省
全体居民人均消费支出 (元) ,2024,20412.0,黑龙江省
城镇居民人均消费支出 (元) ,2024,24011.0,黑龙江省
农村居民人均消费支出 (元) ,2024,15162.0,黑龙江省
全体居民人均消费支出 (元) ,2025,20636.0,黑龙江省
城镇居民人均消费支出 (元) ,2025,24422.0,黑龙江省
农村居民人均消费支出 (元) ,2025,15225.0,黑龙江省
